TalentName, TalentDescription, TalentRank, TalentType,Class,Subclass,,,,,
Organic Crafting,"""The player can extract 3 basic materials from a creature and can make and repair basic organic weapons and armor. The player may learn to craft 2 one-slot modifications and 1 two-slot modification.""",1,Skill,Classless,BaseClassless,,,,," (N'Organic Crafting', N'""The player can extract 3 basic materials from a creature and can make and repair basic organic weapons and armor. The player may learn to craft 2 one-slot modifications and 1 two-slot modification.""', 1, N'Skill', N'Classless', N'BaseClassless'),"
Organic Crafting,"""The player can extract up to 5 items from a creature and can make and repair non-mythic organic weapons and armor. The player may learn to craft 2 additional one-slot modifications and 1 two-slot modification.""",2,Skill,Classless,BaseClassless,,,,," (N'Organic Crafting', N'""The player can extract up to 5 items from a creature and can make and repair non-mythic organic weapons and armor. The player may learn to craft 2 additional one-slot modifications and 1 two-slot modification.""', 2, N'Skill', N'Classless', N'BaseClassless'),"
Organic Crafting,"""The player can extract all materials from any creature and can make and repair all organic weapons and armor if they have the materials. The player may learn to craft 4 additional one-slot modifications and 2 two-slot modifications. The player can create their own modification, subject to GM approval.""",3,Skill,Classless,BaseClassless,,,,," (N'Organic Crafting', N'""The player can extract all materials from any creature and can make and repair all organic weapons and armor if they have the materials. The player may learn to craft 4 additional one-slot modifications and 2 two-slot modifications. The player can create their own modification, subject to GM approval.""', 3, N'Skill', N'Classless', N'BaseClassless'),"
Smithing,"""Allows the mining, smelting, smithing, and repair of bronze, iron, and steel weapons and armor. The player may choose two one-slot modifications and one two-slot modification.""",1,Skill,Classless,BaseClassless,,,,," (N'Smithing', N'""Allows the mining, smelting, smithing, and repair of bronze, iron, and steel weapons and armor. The player may choose two one-slot modifications and one two-slot modification.""', 1, N'Skill', N'Classless', N'BaseClassless'),"
Smithing,"""Allows the mining, smelting, and smithing, of all non-mythic weapons and armor. The player may choose two additional one-slot modifications and one two-slot modification.""",2,Skill,Classless,BaseClassless,,,,," (N'Smithing', N'""Allows the mining, smelting, and smithing, of all non-mythic weapons and armor. The player may choose two additional one-slot modifications and one two-slot modification.""', 2, N'Skill', N'Classless', N'BaseClassless'),"
Smithing,"""Allows the mining, smelting, and smithing, of all weapons and armor. The player may choose four additional one-slot modifications and two two-slot modifications. The player can make their own modification, subject to GM approval.""",3,Skill,Classless,BaseClassless,,,,," (N'Smithing', N'""Allows the mining, smelting, and smithing, of all weapons and armor. The player may choose four additional one-slot modifications and two two-slot modifications. The player can make their own modification, subject to GM approval.""', 3, N'Skill', N'Classless', N'BaseClassless'),"
"Constitution""""""","The player gains 1 additional max carrying capacity (1 weight addition costs 2 XP).""""""",0,Skill,Classless,BaseClassless,,,,," (N'Constitution""""""', N'The player gains 1 additional max carrying capacity (1 weight addition costs 2 XP).""""""', 0, N'Skill', N'Classless', N'BaseClassless'),"
Sense,"""Gain Sense for a chosen sense""",0,Skill,Classless,BaseClassless,,,,," (N'Sense', N'""Gain Sense for a chosen sense""', 0, N'Skill', N'Classless', N'BaseClassless'),"
Weapon Dexterity,"""Gain a chosen Weapon Dexterity""",0,Skill,Classless,BaseClassless,,,,," (N'Weapon Dexterity', N'""Gain a chosen Weapon Dexterity""', 0, N'Skill', N'Classless', N'BaseClassless'),"
Magical Crafting,"""Gain 2 magical Crafting Points per out-of-game day. Magical Crafting Enchantment Max Cost: 4"".",1,Ability,Classless,BaseClassless,,,,," (N'Magical Crafting', N'""Gain 2 magical Crafting Points per out-of-game day. Magical Crafting Enchantment Max Cost: 4"".', 1, N'Ability', N'Classless', N'BaseClassless'),"
Magical Crafting,"""Gain 3 magical Crafting Points per out-of-game day. Magical Crafting Enchantment Max Cost: 12.""",2,Ability,Classless,BaseClassless,,,,," (N'Magical Crafting', N'""Gain 3 magical Crafting Points per out-of-game day. Magical Crafting Enchantment Max Cost: 12.""', 2, N'Ability', N'Classless', N'BaseClassless'),"
Magical Crafting,"""Gain 6 magical Crafting Points per out-of-game day. Magical Crafting Enchantment Max Cost: Null.""",3,Ability,Classless,BaseClassless,,,,," (N'Magical Crafting', N'""Gain 6 magical Crafting Points per out-of-game day. Magical Crafting Enchantment Max Cost: Null.""', 3, N'Ability', N'Classless', N'BaseClassless'),"
Elixirs,"""The player can make Rank I elixirs if they have the materials. The player receives 2 random herbs or flowers OPOOGD.""",1,Skill,Cleric,BaseCleric,,,,," (N'Elixirs', N'""The player can make Rank I elixirs if they have the materials. The player receives 2 random herbs or flowers OPOOGD.""', 1, N'Skill', N'Cleric', N'BaseCleric'),"
Elixirs,"""The player can make Rank II elixirs if they have the materials. The player receives 4 random or 2 specific herbs or flowers OPOOGD.""",2,Skill,Cleric,BaseCleric,,,,," (N'Elixirs', N'""The player can make Rank II elixirs if they have the materials. The player receives 4 random or 2 specific herbs or flowers OPOOGD.""', 2, N'Skill', N'Cleric', N'BaseCleric'),"
Elixirs,"""The player can make Rank III elixirs if they have the materials. The player receives 8 random or 4 specific herbs or flowers OPOOGD.""",3,Skill,Cleric,BaseCleric,,,,," (N'Elixirs', N'""The player can make Rank III elixirs if they have the materials. The player receives 8 random or 4 specific herbs or flowers OPOOGD.""', 3, N'Skill', N'Cleric', N'BaseCleric'),"
Renewing Ground,"""Heals or Mends for 2.""",1,Ability,Cleric,BaseCleric,,,,," (N'Renewing Ground', N'""Heals or Mends for 2.""', 1, N'Ability', N'Cleric', N'BaseCleric'),"
Renewing Ground,"""Heals or Mends for 4.""",2,Ability,Cleric,BaseCleric,,,,," (N'Renewing Ground', N'""Heals or Mends for 4.""', 2, N'Ability', N'Cleric', N'BaseCleric'),"
Renewing Ground,"""Heals or Mends for 6 to the entire party. No cast time is needed.""",3,Ability,Cleric,BaseCleric,,,,," (N'Renewing Ground', N'""Heals or Mends for 6 to the entire party. No cast time is needed.""', 3, N'Ability', N'Cleric', N'BaseCleric'),"
Mend,"""The player gains 4 Mending points.""",1,Ability,Cleric,BaseCleric,,,,," (N'Mend', N'""The player gains 4 Mending points.""', 1, N'Ability', N'Cleric', N'BaseCleric'),"
Mend,"""The player gains 8 Mending points.""",2,Ability,Cleric,BaseCleric,,,,," (N'Mend', N'""The player gains 8 Mending points.""', 2, N'Ability', N'Cleric', N'BaseCleric'),"
Mend,"""The player gains 20 Mending points.""",3,Ability,Cleric,BaseCleric,,,,," (N'Mend', N'""The player gains 20 Mending points.""', 3, N'Ability', N'Cleric', N'BaseCleric'),"
Shell,"""Protects for 5.""",1,Ability,Cleric,BaseCleric,,,,," (N'Shell', N'""Protects for 5.""', 1, N'Ability', N'Cleric', N'BaseCleric'),"
Shell,"""Protects for 10.""",2,Ability,Cleric,BaseCleric,,,,," (N'Shell', N'""Protects for 10.""', 2, N'Ability', N'Cleric', N'BaseCleric'),"
Shell,"""Protects for 20.""",3,Ability,Cleric,BaseCleric,,,,," (N'Shell', N'""Protects for 20.""', 3, N'Ability', N'Cleric', N'BaseCleric'),"
Born Anew,"""Brings back an adventurer to 1 HP"".",1,Ability,Cleric,Soothsayer,,,,," (N'Born Anew', N'""Brings back an adventurer to 1 HP"".', 1, N'Ability', N'Cleric', N'Soothsayer'),"
Born Anew,"""Brings back anyone to 3 HP""",2,Ability,Cleric,Soothsayer,,,,," (N'Born Anew', N'""Brings back anyone to 3 HP""', 2, N'Ability', N'Cleric', N'Soothsayer'),"
Born Anew,"""Brings back anything to 10 HP. Can overheal max HP to 10 for the rest of the encounter.""",3,Ability,Cleric,Soothsayer,,,,," (N'Born Anew', N'""Brings back anything to 10 HP. Can overheal max HP to 10 for the rest of the encounter.""', 3, N'Ability', N'Cleric', N'Soothsayer'),"
Invulnerability,"""The player counts down from 5""",1,Ability,Cleric,Soothsayer,,,,," (N'Invulnerability', N'""The player counts down from 5""', 1, N'Ability', N'Cleric', N'Soothsayer'),"
Invulnerability,"""The player counts down from 10""",2,Ability,Cleric,Soothsayer,,,,," (N'Invulnerability', N'""The player counts down from 10""', 2, N'Ability', N'Cleric', N'Soothsayer'),"
Invulnerability,"""The player counts down from 20""",3,Ability,Cleric,Soothsayer,,,,," (N'Invulnerability', N'""The player counts down from 20""', 3, N'Ability', N'Cleric', N'Soothsayer'),"
Metamorph,"""Allows the player to transfer their mass into an inanimate organic object the size of the player or larger, as long as they’d like. While in this state they cannot take damage but are still susceptible to non-damaging effects.""",1,Ability,Cleric,Soothsayer,,,,," (N'Metamorph', N'""Allows the player to transfer their mass into an inanimate organic object the size of the player or larger, as long as they’d like. While in this state they cannot take damage but are still susceptible to non-damaging effects.""', 1, N'Ability', N'Cleric', N'Soothsayer'),"
Metamorph,"""Allows the player to transfer their mass into an approximately 2’ diameter, inanimate organic object for as long as they’d like, making them invulnerable to damage and effects.""",2,Ability,Cleric,Soothsayer,,,,," (N'Metamorph', N'""Allows the player to transfer their mass into an approximately 2’ diameter, inanimate organic object for as long as they’d like, making them invulnerable to damage and effects.""', 2, N'Ability', N'Cleric', N'Soothsayer'),"
Metamorph,"""Allows a player to transfer their mass into any object for as long as they’d like, making them invulnerable to damage and effects. The player can use talents while metamorphosed""",3,Ability,Cleric,Soothsayer,,,,," (N'Metamorph', N'""Allows a player to transfer their mass into any object for as long as they’d like, making them invulnerable to damage and effects. The player can use talents while metamorphosed""', 3, N'Ability', N'Cleric', N'Soothsayer'),"
Restore,"""The player can restore 1 Rank 1 or 1 rankless talent of the target.""",1,Ability,Cleric,Soothsayer,,,,," (N'Restore', N'""The player can restore 1 Rank 1 or 1 rankless talent of the target.""', 1, N'Ability', N'Cleric', N'Soothsayer'),"
Restore,"""The player can restore 1 Rank 2, 2 Rank 1s, or 2 rankless talents of the target.""",2,Ability,Cleric,Soothsayer,,,,," (N'Restore', N'""The player can restore 1 Rank 2, 2 Rank 1s, or 2 rankless talents of the target.""', 2, N'Ability', N'Cleric', N'Soothsayer'),"
